order_id,product,region,quantity,unit_price,order_date
1,USB Hub,West,20,759.01,2026-02-04
2,Headset,East,18,931.73,2026-07-14
3,Docking Station,North,3,1097.71,2026-02-16
4,Webcam,East,14,536.47,2026-01-03
5,Keyboard,North,16,826.35,2026-07-06
6,Webcam,West,14,747.92,2026-11-11
7,Docking Station,South,17,882.09,2026-03-04
8,Mouse,East,19,41.93,2026-04-13
9,Laptop,North,18,209.38,2026-09-20
10,Monitor,North,10,380.9,2026-04-20
11,Laptop,East,12,1047.09,2026-01-17
12,Docking Station,East,6,874.58,2026-08-27
13,Docking Station,West,1,1077.54,2026-02-17
14,Docking Station,North,16,468.66,2026-09-05
15,Laptop,West,13,631.49,2026-11-09
16,USB Hub,North,15,187.11,2026-12-01
17,Monitor,South,14,987.38,2026-08-09
18,Headset,East,18,808.21,2026-04-16
19,Webcam,West,18,249.34,2026-07-20
20,Monitor,West,5,939.39,2026-01-06
21,Mouse,South,5,892.43,2026-03-06
22,Headset,East,4,585.03,2026-09-05
23,Webcam,North,10,1178.03,2026-11-08
24,Headset,West,14,1013.72,2026-08-07
25,Monitor,South,9,887.11,2026-06-28
26,Laptop,North,7,261.85,2026-10-06
27,USB Hub,North,14,1044.6,2026-05-11
28,Mouse,West,1,1134.37,2026-01-17
29,Headset,North,19,873.85,2026-11-08
30,USB Hub,West,8,85.42,2026-09-04
31,Keyboard,North,19,773.66,2026-03-15
32,Docking Station,South,12,841.03,2026-11-14
33,Keyboard,West,7,432.52,2026-09-22
34,Webcam,South,10,51.64,2026-07-03
35,Monitor,West,3,529.27,2026-12-03
36,Webcam,South,4,735.31,2026-03-12
37,Mouse,South,1,536.05,2026-11-14
38,Mouse,West,2,232.49,2026-09-23
39,Keyboard,West,11,312.74,2026-08-12
40,Docking Station,South,1,728.78,2026-05-05
41,USB Hub,West,8,813.57,2026-07-01
42,Keyboard,South,5,817.47,2026-07-27
43,Keyboard,West,8,854.53,2026-10-23
44,USB Hub,East,14,606.36,2026-11-14
45,Docking Station,East,20,471.66,2026-06-09
46,Keyboard,East,13,604.4,2026-08-11
47,Docking Station,West,16,198.95,2026-10-02
48,Docking Station,South,5,863.56,2026-07-08
49,Laptop,East,13,559.84,2026-06-18
50,Keyboard,North,19,665.8,2026-12-06
51,Keyboard,North,7,200.77,2026-03-27
52,Keyboard,South,14,419.46,2026-12-23
53,Docking Station,North,20,434.74,2026-06-16
54,Docking Station,West,19,318.72,2026-10-10
55,Monitor,South,9,787.45,2026-04-21
56,Laptop,West,11,31.84,2026-01-03
57,Laptop,West,6,989.26,2026-05-21
58,Laptop,East,11,290.59,2026-06-04
59,Keyboard,South,10,590.66,2026-03-06
60,Headset,South,4,637.04,2026-02-05
61,Mouse,North,5,142.92,2026-02-02
62,Webcam,South,4,141.75,2026-09-03
63,Laptop,East,20,949.98,2026-05-02
64,Headset,West,10,981.65,2026-11-24
65,Docking Station,South,10,246.71,2026-01-15
66,Laptop,East,10,555.66,2026-08-01
67,Monitor,West,16,549.03,2026-05-22
68,Docking Station,West,19,1032.25,2026-07-25
69,Mouse,West,10,1136.03,2026-06-23
70,Monitor,West,16,354.68,2026-08-08
71,Monitor,West,4,1192.25,2026-03-24
72,Keyboard,South,14,240.66,2026-01-06
73,Monitor,South,13,650.38,2026-08-16
74,Keyboard,South,20,302.0,2026-11-08
75,Docking Station,West,1,1199.98,2026-09-02
76,Headset,South,14,724.95,2026-10-07
